Revenue (d2);Labor (l1);Variable Cost (n2a, n2e, n2f, n2b);Investment in new capital (n5a, n5b);Raw Materials Cost (n2e)
21551699968;752;12735000320;12000000000;3180000000
21611999232;120;18499999744;3712999936;16899999744
21706000384;658;21023999488;2164000000;14821999616
21842999296;150;17251000320;235000000;14595000320
22000000000;234;8900000000;0;200000000
22000000000;5;4020000000;0;2000000000
22000000000;50;17610000000;35000000;16000000000
22000000000;200;19700000000;0;5000000000
22000000000;41;3090000000;0;0
22000000000;40;6700000000;0;4000000000
22000000000;21;1490000000;650000000;
22000000000;0;840000000;0;
22000000000;400;13656000000;0;8500000000
22000000000;90;12504000000;2000000000;10000000000
22000000000;300;12300000000;4060000000;7000000000
22000001024;220;17862999808;190000000;13946999808
22000001024;775;14020000000;800000000;2420000000
22000001024;1200;48056000512;3600000000;35056001024
22000001024;560;18567999744;17965000192;16739999744
22054000640;126;21393000064;0;19815000064
22146000000;104;4368000000;100000000;
22229999616;240;9494000128;0;6000000000
22275999744;275;20727000064;0;15502000128
22328000512;40;20918000128;500000000;20622000128
22421999616;151;17295999488;34000000;14565999616
22435999744;98;19354000896;0;17200001024
22521999360;190;15373999616;2004000000;12851999744
22699999232;140;17220000256;0;14700000256
22868000768;250;20916999168;4000000000;17316999168
22900000000;160;2116000000;850000000;
23000000000;500;20400000000;1000000000;7000000000
23000000000;135;15600000000;3500000000;4500000000
23000000000;33;19240000000;0;18000000000
23000000000;28;990000000;250000000;
23000000000;5;21230000000;0;20000000000
23000000000;27;9000000000;4000000;7500000000
23000000000;50;16200000000;400000000;10000000000
23000000000;25;18816000000;2000000000;15400000000
23000000512;38;20339999744;2350000000;13333999616
23179999232;100;19823000320;1700000000;18243000320
23225999360;471;15992000000;0;12910000128
23325999104;153;10963000320;613200000;6933000192
23397000000;10;342000000;0;
23533000000;47;13871000000;2269000000;10978000000
23878000640;295;17648999424;1414000000;14599999488
24000000000;160;24700000000;0;14500000000
24000000000;60;10000000000;82000000;4100000000
24000000000;80;21300000000;3000000000;20000000000
24000000000;60;19850000000;600000000;19000000000
24000000000;140;23000000000;3100000000;20000000000
24000000000;65;22322999424;660000000;21440999424
24000000000;28;10654000000;100000000;9247000000
24000000000;50;20520000000;4000000000;18000000000
24000000000;100;17900000000;800000000;5500000000
24000000000;30;100000000;100000000;
24000000000;50;13044000000;76000000;10800000000
24000000000;110;11300000000;0;7000000000
24000000000;30;1900400000;500000000;1200000000
24000000000;20;16700000000;6000000000;16000000000
24000000000;200;17012000000;250000000;14000000000
24000000000;60;19120000000;470000000;18400000000
24014999552;830;17317000192;3120000000;5365000192
24142000128;302;21309999488;17600000000;19175999488
24150000000;30;19725000000;1500000000;17560000000
24322177246;600;15057672826;757836292;1000000000
24405999616;630;15427000320;1116000000;9400000512
24416000000;80;19279999488;1783000000;17639999488
24508000256;60;23357000768;297000000;23028000768
24650000384;339;13472000512;150000000;10072000512
24779999232;160;22769999872;224000000;19409999872
24949000192;1275;14413830144;0;3016829952
24999999488;78;20655198208;6000000000;19446198272
24999999488;90;22900000000;1900000000;21600000000
25000000000;311;25360000000;10000000000;12500000000
25000000000;120;11090000000;400000000;3000000000
25000000000;80;17050000000;25000000000;12000000000
25000000000;80;20980500000;1500000000;13500000000
25000000000;15;324000000;0;
